heart_rate,spo2,sys_bp,network_latency,packet_size,anomaly_score,threat_type,ACTION_LABEL
0,0,120,24,665,0.19072092125621712,False_Positive_Glitch,ROLLBACK
131,93,132,968,60413,0.8830875539052804,Ransomware_Pattern,ISOLATE
0,0,134,22,145,0.1630743845348514,False_Positive_Glitch,ROLLBACK
112,98,109,85,292,0.5920546427912027,Irregular_Heartbeat,MONITOR
61,97,117,20,692,0.1705828751746581,Normal_Vitals,NO_ACTION
44,93,112,89,506,0.5668249618402421,Irregular_Heartbeat,MONITOR
65,95,142,15,535,0.2949089017404674,Normal_Vitals,NO_ACTION
0,0,133,27,597,0.17167834764229023,False_Positive_Glitch,ROLLBACK
168,93,103,1816,6325,0.9733302480638605,Ransomware_Pattern,ISOLATE
111,103,115,69,550,0.38280061252236564,Irregular_Heartbeat,MONITOR
158,98,126,1309,98045,0.9185058752621351,Ransomware_Pattern,ISOLATE
145,92,125,397,49822,0.9160197146069058,Ransomware_Pattern,ISOLATE
156,95,104,850,96083,0.9403864384716543,Ransomware_Pattern,ISOLATE
154,95,132,1027,68434,0.8585210286955315,Ransomware_Pattern,ISOLATE
64,96,153,31,63,0.17136628847717508,Normal_Vitals,NO_ACTION
81,97,134,-4,498,0.2063394354913036,Normal_Vitals,NO_ACTION
77,100,135,27,509,0.020419206343592986,Normal_Vitals,NO_ACTION
71,100,115,40,816,0.28089969698393175,Normal_Vitals,NO_ACTION
85,97,126,22,336,0.14911833377918313,Normal_Vitals,NO_ACTION
152,101,119,937,51928,0.9439449447798444,Ransomware_Pattern,ISOLATE
48,93,122,63,351,0.5053495258411226,Irregular_Heartbeat,MONITOR
0,0,95,18,896,0.13796529360647142,False_Positive_Glitch,ROLLBACK
70,98,110,25,805,0.014933772238459618,Normal_Vitals,NO_ACTION
112,97,123,94,625,0.46696603960053973,Irregular_Heartbeat,MONITOR
47,93,120,97,439,0.36083409250095405,Irregular_Heartbeat,MONITOR
131,95,147,991,69212,0.9526472841073087,Ransomware_Pattern,ISOLATE
137,96,140,1037,56781,0.8505804530201242,Ransomware_Pattern,ISOLATE
63,97,147,27,730,0.20474336974527219,Normal_Vitals,NO_ACTION
84,98,117,28,692,0.057331683921798646,Normal_Vitals,NO_ACTION
65,98,98,22,823,0.12172308280379535,Normal_Vitals,NO_ACTION
0,0,107,24,406,0.18802461248405733,False_Positive_Glitch,ROLLBACK
68,96,159,21,458,0.2827407449903573,Normal_Vitals,NO_ACTION
91,100,104,24,386,0.05218224066069107,Normal_Vitals,NO_ACTION
165,95,125,912,52958,0.8740040204535612,Ransomware_Pattern,ISOLATE
55,98,135,94,617,0.4796399507512587,Irregular_Heartbeat,MONITOR
66,98,156,35,183,0.014512613180288025,Normal_Vitals,ROLLBACK
53,96,124,100,523,0.40486930086411654,Irregular_Heartbeat,MONITOR
133,93,137,899,70485,0.9857952370025558,Ransomware_Pattern,ISOLATE
113,98,136,63,200,0.5762654549551081,Irregular_Heartbeat,MONITOR
0,0,134,20,650,0.15501232858427402,False_Positive_Glitch,ROLLBACK
90,98,118,19,552,0.04375534082894611,Normal_Vitals,NO_ACTION
53,99,132,76,566,0.3612634445010621,Irregular_Heartbeat,MONITOR
0,0,139,31,379,0.14022257705079974,False_Positive_Glitch,ROLLBACK
51,94,121,68,720,0.5014269550765753,Irregular_Heartbeat,MONITOR
91,98,134,9,269,0.03438087525080591,Normal_Vitals,NO_ACTION
155,96,116,263,51327,0.9342322409924189,Ransomware_Pattern,ISOLATE
49,91,129,71,553,0.3711194550465035,Irregular_Heartbeat,MONITOR
62,96,110,21,344,0.10725563124038141,Normal_Vitals,NO_ACTION
138,99,118,1678,77058,0.9152169370005311,Ransomware_Pattern,NO_ACTION
134,100,120,755,21344,0.9564612447647511,Ransomware_Pattern,ISOLATE
96,95,120,14,599,0.2270505690519174,Normal_Vitals,NO_ACTION
173,95,135,770,17583,0.9950911568861684,Ransomware_Pattern,ISOLATE
114,90,111,87,736,0.5000413043349118,Irregular_Heartbeat,MONITOR
111,92,96,87,475,0.5227363847774636,Irregular_Heartbeat,MONITOR
106,97,151,67,527,0.3694041180076332,Irregular_Heartbeat,MONITOR
180,98,154,1151,99470,0.9480971350998761,Ransomware_Pattern,ISOLATE
140,98,125,795,12364,0.8923734030815889,Ransomware_Pattern,ISOLATE
42,101,136,98,585,0.4106889027088313,Irregular_Heartbeat,MONITOR
153,96,144,665,92044,0.9773257161934501,Ransomware_Pattern,ISOLATE
87,99,98,17,489,0.1761876966209059,Normal_Vitals,NO_ACTION
62,99,115,22,164,0.27373813929101903,Normal_Vitals,NO_ACTION
113,100,125,64,501,0.448715366192225,Irregular_Heartbeat,MONITOR
164,100,143,598,85137,0.9381383824407203,Ransomware_Pattern,ISOLATE
117,91,117,73,435,0.5648844625243641,Irregular_Heartbeat,MONITOR
120,98,139,68,570,0.4236003565494098,Irregular_Heartbeat,MONITOR
111,99,141,83,792,0.5979924202027255,Irregular_Heartbeat,NO_ACTION
118,94,109,71,370,0.47488364811443706,Irregular_Heartbeat,MONITOR
151,99,116,896,55281,0.8508786248177456,Ransomware_Pattern,ISOLATE
149,94,125,1215,9196,0.8651464943913162,Ransomware_Pattern,ISOLATE
142,93,129,752,51232,0.9606012196624025,Ransomware_Pattern,ROLLBACK
48,98,104,90,643,0.527379041215887,Irregular_Heartbeat,MONITOR
161,95,122,457,69974,0.8930749466862152,Ransomware_Pattern,ISOLATE
65,100,135,3,698,0.1797756246594919,Normal_Vitals,NO_ACTION
0,0,136,16,122,0.18104686979971302,False_Positive_Glitch,ROLLBACK
84,98,107,11,588,0.20710325978953328,Normal_Vitals,NO_ACTION
100,100,104,10,340,0.09362739908675068,Normal_Vitals,NO_ACTION
173,94,140,1324,73404,0.8524119928920898,Ransomware_Pattern,ISOLATE
140,93,120,1679,23859,0.9878375716463679,Ransomware_Pattern,ISOLATE
69,97,146,26,466,0.09701613205757322,Normal_Vitals,NO_ACTION
0,0,123,8,440,0.13038255151642947,False_Positive_Glitch,ROLLBACK
145,91,112,963,76974,0.8872405839297528,Ransomware_Pattern,ISOLATE
113,98,128,57,453,0.48217752895877286,Irregular_Heartbeat,MONITOR
54,94,122,84,635,0.5806943220696328,Irregular_Heartbeat,MONITOR
52,101,118,93,675,0.38309243617846866,Irregular_Heartbeat,MONITOR
83,97,106,19,418,0.25856937563518656,Normal_Vitals,NO_ACTION
41,100,110,65,-71,0.529901861585022,Irregular_Heartbeat,MONITOR
52,92,125,89,499,0.5084879968247777,Irregular_Heartbeat,MONITOR
106,99,124,56,255,0.599717409443921,Irregular_Heartbeat,MONITOR
135,96,120,1625,90071,0.8643182491397223,Ransomware_Pattern,ISOLATE
0,0,149,33,371,0.14656361037387536,False_Positive_Glitch,ROLLBACK
0,0,114,20,515,0.19805466305548466,False_Positive_Glitch,ROLLBACK
142,95,115,205,65007,0.9988265901491048,Ransomware_Pattern,ISOLATE
0,0,120,26,676,0.10175557829521946,False_Positive_Glitch,ROLLBACK
79,96,140,8,655,0.08027376947872421,Normal_Vitals,NO_ACTION
52,95,123,70,549,0.4074916277515765,Irregular_Heartbeat,MONITOR
132,96,126,1933,60805,0.8669179511911707,Ransomware_Pattern,ISOLATE
0,0,111,9,517,0.16359419774064116,False_Positive_Glitch,ROLLBACK
152,94,142,1006,14148,0.9932250887223721,Ransomware_Pattern,ISOLATE
166,98,133,1182,45106,0.9823615068209337,Ransomware_Pattern,ISOLATE
0,0,117,6,117,0.10808646304511974,False_Positive_Glitch,ROLLBACK
40,92,97,75,654,0.46716798841777385,Irregular_Heartbeat,MONITOR
95,96,126,19,922,0.29753287144136253,Normal_Vitals,NO_ACTION
71,96,146,16,380,0.028712897264642566,Normal_Vitals,NO_ACTION
152,95,127,572,48179,0.8949862278709388,Ransomware_Pattern,ISOLATE
157,90,112,975,39072,0.9085524192823561,Ransomware_Pattern,ISOLATE
73,96,136,21,460,0.22552857962466025,Normal_Vitals,NO_ACTION
154,95,113,1594,6552,0.8673988753798207,Ransomware_Pattern,ISOLATE
90,97,138,41,580,7.91264173159667e-05,Normal_Vitals,NO_ACTION
170,94,110,1555,70481,0.8518090846631361,Ransomware_Pattern,ISOLATE
168,97,105,1629,7757,0.9868011850608246,Ransomware_Pattern,ISOLATE
82,95,155,26,742,0.27727163973912217,Normal_Vitals,NO_ACTION
75,96,118,22,401,0.018031884220515892,Normal_Vitals,NO_ACTION
96,95,101,17,597,0.27406906787850427,Normal_Vitals,NO_ACTION
178,97,128,965,86682,0.9022414054645812,Ransomware_Pattern,ISOLATE
171,89,86,354,49136,0.9208519108157347,Ransomware_Pattern,ISOLATE
167,93,124,1445,85274,0.8943730227114923,Ransomware_Pattern,ISOLATE
76,99,102,8,308,0.06393690972040157,Normal_Vitals,NO_ACTION
0,0,118,21,591,0.11834596087148855,False_Positive_Glitch,ROLLBACK
0,0,109,11,664,0.13933399833776783,False_Positive_Glitch,ROLLBACK
61,97,128,14,180,0.18755274120632515,Normal_Vitals,NO_ACTION
143,95,139,1646,19209,0.8678081360551431,Ransomware_Pattern,ISOLATE
70,100,91,20,331,0.1386502049849065,Normal_Vitals,NO_ACTION
168,97,114,435,66693,0.9794498018580109,Ransomware_Pattern,ISOLATE
91,98,119,25,179,0.2793108420992987,Normal_Vitals,NO_ACTION
0,0,81,26,225,0.19741784306414636,False_Positive_Glitch,ROLLBACK
79,95,107,19,325,0.07630158797438814,Normal_Vitals,NO_ACTION
97,97,115,7,530,0.009623051309233188,Normal_Vitals,NO_ACTION
93,100,93,21,284,0.04486564726506074,Normal_Vitals,NO_ACTION
61,95,118,12,327,0.036350988527003116,Normal_Vitals,NO_ACTION
109,95,142,59,544,0.48307779480371976,Irregular_Heartbeat,MONITOR
47,99,121,51,623,0.48309251714297896,Irregular_Heartbeat,MONITOR
146,94,83,1950,30484,0.8605802680880665,Ransomware_Pattern,ISOLATE
100,100,134,10,452,0.10809840627910486,Normal_Vitals,NO_ACTION
75,100,118,8,752,0.05563497515712148,Normal_Vitals,NO_ACTION
40,92,145,69,385,0.3741449851528834,Irregular_Heartbeat,MONITOR
0,0,127,23,681,0.14696014392781476,False_Positive_Glitch,ROLLBACK
174,98,94,1749,21551,0.9677895735849993,Ransomware_Pattern,ISOLATE
52,93,121,81,530,0.5599980023945206,Irregular_Heartbeat,MONITOR
0,0,120,15,249,0.16238083152723776,False_Positive_Glitch,ROLLBACK
148,97,125,1122,34930,0.888879205186081,Ransomware_Pattern,ISOLATE
72,99,106,15,792,0.17853619748899632,Normal_Vitals,NO_ACTION
112,92,127,77,648,0.5181295249230485,Irregular_Heartbeat,MONITOR
180,97,125,658,44003,0.9543329108767772,Ransomware_Pattern,ISOLATE
60,97,117,6,173,0.2734080464125924,Normal_Vitals,NO_ACTION
113,93,111,77,517,0.5215209948649864,Irregular_Heartbeat,MONITOR
44,95,100,94,428,0.5653517336347655,Irregular_Heartbeat,MONITOR
69,99,114,10,440,0.051320042424440604,Normal_Vitals,NO_ACTION
54,97,128,90,522,0.4751217467804744,Irregular_Heartbeat,MONITOR
85,95,126,6,602,0.014335300097987346,Normal_Vitals,NO_ACTION
71,97,99,15,408,0.01885834740535659,Normal_Vitals,NO_ACTION
82,99,134,-2,216,0.08193697230728396,Normal_Vitals,NO_ACTION
100,97,135,8,236,0.02172111856042832,Normal_Vitals,NO_ACTION
163,94,117,1735,80284,0.9696504110051312,Ransomware_Pattern,ISOLATE
78,97,133,11,612,0.26953807725676104,Normal_Vitals,NO_ACTION
96,97,132,20,471,0.025498792959459338,Normal_Vitals,NO_ACTION
99,98,129,19,638,0.1854425017734021,Normal_Vitals,NO_ACTION
98,100,105,-2,359,0.1204194980277745,Normal_Vitals,NO_ACTION
43,94,92,80,468,0.5393835454532702,Irregular_Heartbeat,MONITOR
106,100,118,57,795,0.4386730036617611,Irregular_Heartbeat,MONITOR
153,90,113,278,16382,0.9423691324800231,Ransomware_Pattern,ISOLATE
132,97,123,712,66109,0.8706868637918824,Ransomware_Pattern,ISOLATE
136,99,115,1775,29400,0.9271065203356754,Ransomware_Pattern,ISOLATE
74,97,114,27,877,0.1678680492542304,Normal_Vitals,NO_ACTION
173,94,114,1966,29369,0.8837836597260827,Ransomware_Pattern,ISOLATE
95,99,119,40,617,0.12100640294036091,Normal_Vitals,NO_ACTION
118,99,112,64,256,0.3508046762763643,Irregular_Heartbeat,MONITOR
82,99,114,12,438,0.1450657758405613,Normal_Vitals,NO_ACTION
53,95,98,65,334,0.5357359408444021,Irregular_Heartbeat,MONITOR
168,95,107,599,59890,0.9067370223081612,Ransomware_Pattern,ISOLATE
91,98,109,28,763,0.25381196390750455,Normal_Vitals,NO_ACTION
88,95,113,16,428,0.13726754831169566,Normal_Vitals,NO_ACTION
147,96,93,729,59344,0.9864097000346281,Ransomware_Pattern,ISOLATE
76,97,146,19,654,0.0526784847906115,Normal_Vitals,NO_ACTION
151,91,120,464,99579,0.8805742598977871,Ransomware_Pattern,ISOLATE
0,0,99,26,345,0.1197975490533061,False_Positive_Glitch,ROLLBACK
177,94,112,1203,25832,0.9313984131730094,Ransomware_Pattern,ISOLATE
42,93,138,63,668,0.5316506025592412,Irregular_Heartbeat,MONITOR
130,96,119,1089,48037,0.8833629123706581,Ransomware_Pattern,ISOLATE
54,103,106,87,453,0.4149480557253635,Irregular_Heartbeat,MONITOR
95,96,95,12,584,0.10343047980739145,Normal_Vitals,NO_ACTION
135,95,110,1847,58651,0.8823217864441032,Ransomware_Pattern,ISOLATE
134,93,128,204,57107,0.9163390137755982,Ransomware_Pattern,ISOLATE
85,97,106,29,826,0.2890410630816587,Normal_Vitals,NO_ACTION
134,99,112,1742,38543,0.8902525408983538,Ransomware_Pattern,ISOLATE
0,0,141,22,541,0.16468819279226304,False_Positive_Glitch,ROLLBACK
84,98,115,27,544,0.1152208601623608,Normal_Vitals,NO_ACTION
0,0,123,37,595,0.1540004494649841,False_Positive_Glitch,ROLLBACK
60,96,107,27,673,0.17612655008516706,Normal_Vitals,NO_ACTION
93,100,124,12,508,0.08480824854181143,Normal_Vitals,NO_ACTION
118,94,146,74,878,0.4934794123269072,Irregular_Heartbeat,MONITOR
0,0,110,4,445,0.13327742628230488,False_Positive_Glitch,ROLLBACK
49,96,131,97,576,0.3591195938610454,Irregular_Heartbeat,MONITOR
98,97,110,22,585,0.021961716218341452,Normal_Vitals,NO_ACTION
86,100,130,14,422,0.0314952568663725,Normal_Vitals,NO_ACTION
67,96,147,21,823,0.099717012655283,Normal_Vitals,NO_ACTION
67,96,149,7,653,0.0481146245095885,Normal_Vitals,NO_ACTION
94,100,120,30,722,0.20256994149230154,Normal_Vitals,NO_ACTION
40,96,133,75,466,0.5237721885664492,Irregular_Heartbeat,MONITOR
157,95,101,626,85508,0.9891675766409344,Ransomware_Pattern,ISOLATE
77,95,113,7,554,0.28404108945375933,Normal_Vitals,NO_ACTION
168,95,110,1409,46016,0.8837077710642297,Ransomware_Pattern,ISOLATE
166,94,153,1353,46826,0.9821394785524014,Ransomware_Pattern,ISOLATE
64,100,118,8,369,0.1799516671920631,Normal_Vitals,NO_ACTION
0,0,127,33,604,0.18659433662900024,False_Positive_Glitch,ROLLBACK
110,91,143,54,290,0.4462520545925004,Irregular_Heartbeat,MONITOR
76,95,117,12,478,0.13857751546383876,Normal_Vitals,ROLLBACK
0,0,149,21,719,0.1323453057502435,False_Positive_Glitch,ROLLBACK
0,0,133,6,259,0.14769851664570346,False_Positive_Glitch,ROLLBACK
168,97,131,675,65618,0.8805008650360175,Ransomware_Pattern,ISOLATE
130,94,118,1356,86695,0.9900881418722216,Ransomware_Pattern,ISOLATE
81,98,127,42,583,0.0322303735432601,Normal_Vitals,NO_ACTION
97,95,146,10,419,0.25030126944606595,Normal_Vitals,NO_ACTION
152,99,113,823,42896,0.9068151793858384,Ransomware_Pattern,ISOLATE
97,96,118,11,769,0.017593763859331667,Normal_Vitals,ROLLBACK
64,100,110,28,806,0.007984517297712612,Normal_Vitals,NO_ACTION
64,100,111,13,472,0.06982449943970309,Normal_Vitals,NO_ACTION
159,103,119,1023,46855,0.9782992918082063,Ransomware_Pattern,ISOLATE
67,98,118,21,744,0.22933278515929237,Normal_Vitals,NO_ACTION
74,98,84,31,325,0.13883475295679426,Normal_Vitals,NO_ACTION
0,0,91,18,632,0.15860992506288343,False_Positive_Glitch,ROLLBACK
156,93,107,759,36359,0.9099028716291273,Ransomware_Pattern,ISOLATE
166,100,110,1650,55957,0.9354614674262092,Ransomware_Pattern,ISOLATE
0,0,123,22,332,0.15315157708404176,False_Positive_Glitch,ROLLBACK
97,99,119,27,561,0.25256527043148264,Normal_Vitals,NO_ACTION
139,91,150,1124,84743,0.9330406081760522,Ransomware_Pattern,ISOLATE
111,92,108,58,242,0.5012275609778222,Irregular_Heartbeat,MONITOR
151,98,147,500,20079,0.8983531332201464,Ransomware_Pattern,ISOLATE
74,99,106,25,492,0.15192838025176172,Normal_Vitals,NO_ACTION
0,0,123,28,496,0.17762201100047018,False_Positive_Glitch,ROLLBACK
160,91,104,790,91933,0.9996721134478661,Ransomware_Pattern,ISOLATE
62,100,112,15,708,0.003910923330122195,Normal_Vitals,NO_ACTION
94,97,81,19,494,0.19098377113334725,Normal_Vitals,NO_ACTION
175,97,123,352,70340,0.8568823841804535,Ransomware_Pattern,ISOLATE
63,98,122,15,414,0.25083419538130103,Normal_Vitals,NO_ACTION
149,96,122,1629,42298,0.9488273779980414,Ransomware_Pattern,ISOLATE
0,0,100,9,110,0.12928681929592964,False_Positive_Glitch,ROLLBACK
118,98,137,66,586,0.5815378706746299,Irregular_Heartbeat,MONITOR
40,99,105,86,231,0.4554252175166701,Irregular_Heartbeat,ISOLATE
71,96,134,21,326,0.2582368589826041,Normal_Vitals,NO_ACTION
178,90,131,1054,95671,0.9116851871939056,Ransomware_Pattern,ISOLATE
160,87,94,1460,30474,0.9912213761980175,Ransomware_Pattern,ISOLATE
93,96,133,26,451,0.2327877817271713,Normal_Vitals,NO_ACTION
0,0,130,31,628,0.14152621910137353,False_Positive_Glitch,ROLLBACK
84,98,126,25,526,0.23017042832665785,Normal_Vitals,NO_ACTION
97,99,116,10,738,0.12178627920684798,Normal_Vitals,NO_ACTION
108,96,102,62,605,0.5172825473984487,Irregular_Heartbeat,MONITOR
0,0,132,15,386,0.14250537798338614,False_Positive_Glitch,ROLLBACK
175,94,107,1483,52960,0.8576874970331222,Ransomware_Pattern,ISOLATE
70,96,127,26,734,0.20674161060655646,Normal_Vitals,NO_ACTION
163,101,128,1223,76957,0.9955160793449233,Ransomware_Pattern,ISOLATE
44,98,101,77,694,0.5341884807383124,Irregular_Heartbeat,MONITOR
0,0,121,23,783,0.12063145842845645,False_Positive_Glitch,ROLLBACK
162,90,111,835,5353,0.8914458463081596,Ransomware_Pattern,ISOLATE
0,0,119,18,645,0.10345618351846798,False_Positive_Glitch,ROLLBACK
44,97,121,98,430,0.5936208704003438,Irregular_Heartbeat,MONITOR
175,101,148,1243,83772,0.9548971581690232,Ransomware_Pattern,ISOLATE
70,96,129,31,398,0.18031298878625215,Normal_Vitals,NO_ACTION
132,91,106,499,65851,0.8962620732003808,Ransomware_Pattern,ISOLATE
99,99,124,13,449,0.2908980415116214,Normal_Vitals,NO_ACTION
83,95,95,9,208,0.23827282460135385,Normal_Vitals,NO_ACTION
167,92,132,680,49502,0.9589830835590479,Ransomware_Pattern,ISOLATE
0,0,142,23,473,0.10904836099804083,False_Positive_Glitch,ROLLBACK
130,98,126,229,84092,0.9283274276712646,Ransomware_Pattern,ISOLATE
97,98,144,17,560,0.09039279859030913,Normal_Vitals,NO_ACTION
68,98,132,22,921,0.15574213315540045,Normal_Vitals,NO_ACTION
82,98,122,2,-50,0.19692614466047717,Normal_Vitals,NO_ACTION
140,91,124,627,68837,0.8818687443937774,Ransomware_Pattern,ISOLATE
62,99,124,27,334,0.11092235371906856,Normal_Vitals,NO_ACTION
152,95,132,704,98181,0.8505160302986111,Ransomware_Pattern,ISOLATE
106,94,105,86,530,0.3620145575353923,Irregular_Heartbeat,MONITOR
83,95,123,14,531,0.23228371722374927,Normal_Vitals,NO_ACTION
0,0,101,15,585,0.14780283360598137,False_Positive_Glitch,ROLLBACK
174,94,97,1183,10726,0.9393854609728087,Ransomware_Pattern,ISOLATE
140,94,124,1575,13947,0.8930853190712695,Ransomware_Pattern,ISOLATE
91,97,119,34,279,0.26511990967091714,Normal_Vitals,NO_ACTION
169,95,125,1417,71423,0.9411901568723102,Ransomware_Pattern,ISOLATE
87,96,136,34,372,0.12698833895094844,Normal_Vitals,NO_ACTION
87,97,106,26,870,0.21259439743985079,Normal_Vitals,NO_ACTION
95,95,116,15,725,0.2692497948520213,Normal_Vitals,NO_ACTION
105,96,113,80,569,0.5668356506314849,Irregular_Heartbeat,MONITOR
62,97,108,9,545,0.17504456064875795,Normal_Vitals,NO_ACTION
94,99,107,9,304,0.19808969189270262,Normal_Vitals,NO_ACTION
81,98,153,23,774,0.29412908550956707,Normal_Vitals,NO_ACTION
161,95,111,1026,62705,0.9175088101570293,Ransomware_Pattern,ISOLATE
135,93,116,307,10202,0.953057240003419,Ransomware_Pattern,ISOLATE
73,96,117,19,386,0.007410799948890245,Normal_Vitals,NO_ACTION
156,101,130,750,8946,0.9037481182238397,Ransomware_Pattern,ISOLATE
159,95,120,1632,47693,0.9909707323698546,Ransomware_Pattern,ISOLATE
178,95,109,1026,57580,0.91290877828338,Ransomware_Pattern,ISOLATE
138,95,122,1859,52124,0.8827614245426325,Ransomware_Pattern,ISOLATE
149,88,87,602,49108,0.9553639386175286,Ransomware_Pattern,ISOLATE
60,100,127,22,396,0.030369636046707515,Normal_Vitals,NO_ACTION
61,100,114,40,264,0.00196885401559318,Normal_Vitals,NO_ACTION
99,99,108,10,371,0.19091587355540832,Normal_Vitals,NO_ACTION
141,97,106,661,36030,0.8761991759897645,Ransomware_Pattern,ISOLATE
55,93,113,67,845,0.507001627133868,Irregular_Heartbeat,MONITOR
0,0,122,7,585,0.1095640246482213,False_Positive_Glitch,ROLLBACK
85,99,128,28,747,0.17716755784617647,Normal_Vitals,NO_ACTION
86,99,114,30,494,0.10937827615262342,Normal_Vitals,NO_ACTION
111,93,120,65,813,0.5180504859879487,Irregular_Heartbeat,MONITOR
90,97,137,24,423,0.19236340095326213,Normal_Vitals,NO_ACTION
174,94,116,1440,43808,0.9957631636333103,Ransomware_Pattern,ISOLATE
97,95,112,20,548,0.21024746223221566,Normal_Vitals,NO_ACTION
47,96,130,79,521,0.49938473501072167,Irregular_Heartbeat,MONITOR
49,95,130,97,165,0.36369234892661767,Irregular_Heartbeat,MONITOR
98,96,135,19,509,0.1453453631082555,Normal_Vitals,NO_ACTION
84,98,144,16,416,0.0875203687162592,Normal_Vitals,NO_ACTION
63,98,115,15,381,0.11113583190893872,Normal_Vitals,NO_ACTION
167,93,120,1534,15326,0.9478587885740087,Ransomware_Pattern,ISOLATE
72,97,99,22,586,0.2900804098945682,Normal_Vitals,NO_ACTION
0,0,146,29,119,0.17563300416052827,False_Positive_Glitch,ROLLBACK
54,96,109,87,514,0.521794338540507,Irregular_Heartbeat,MONITOR
78,96,88,10,769,0.22490919553974087,Normal_Vitals,NO_ACTION
0,0,126,2,590,0.19369679450230787,False_Positive_Glitch,ROLLBACK
138,95,115,562,56999,0.8661528565287115,Ransomware_Pattern,ISOLATE
169,99,107,1134,39861,0.9884941231466963,Ransomware_Pattern,ISOLATE
68,95,103,22,471,0.16185399528566818,Normal_Vitals,NO_ACTION
