timestamp,alert_id,device_id,device_type,ward,criticality_tier,life_support,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type,attack_severity,priority_label,group_id,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score,campaign_id
2024-01-26 04:40:22,ALT_137954,WARD_ESP32_FALL_001,ESP32_Fall_Detection,General_Ward,7,False,192.168.1.88,10.0.3.230,22832,80,WiFi,374,15,0.25,1,2,5610,2783,18.88,4,4,True,False,normal,0,LOW,,0.196935,0.090671,0.070951,
2024-02-07 13:54:14,ALT_259126,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.2.215,10.0.9.185,49219,8883,MQTT,200,13,0.22,1,1,2600,1022,18.93,13,2,False,False,normal,0,MEDIUM,,0.066794,0.129925,0.048266,
2024-01-27 06:33:35,ALT_261949,ICU_ESP32_ECG_001,ESP32_ECG_Monitor,ICU,10,True,192.168.26.236,10.0.3.140,55839,1883,MQTT,225,39,0.65,1,5,8775,3346,18.95,6,5,False,True,normal,0,MEDIUM,,0.03011,0.175173,0.062401,
2024-01-19 18:17:22,ALT_773336,WARD_ESP32_TEMP_001,ESP32_Temperature,General_Ward,6,False,192.168.8.103,10.0.8.163,59054,80,HTTP,1602,1600,26.67,12,135,2563200,854376,49.08,18,4,False,False,mitm_ssl_strip,38,MEDIUM,GRP_28703,0.954878,0.724326,0.190508,CAMP_009
2024-01-16 16:38:32,ALT_618402,ER_ESP32_FALL_001,ESP32_Fall_Detection,Emergency,8,False,192.168.18.94,10.0.10.47,52187,443,WiFi,306,43,0.72,1,5,13158,3980,45.87,16,1,False,False,normal,0,LOW,,0.162907,0.178693,0.0135,
2024-01-29 14:43:25,ALT_251389,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.19.241,10.0.4.15,1333,80,HTTP,452,20,0.33,1,5,9040,2899,10.85,14,0,False,False,normal,0,INFO,,0.089192,0.148404,0.031304,
2024-01-26 00:12:41,ALT_765827,OPD_ESP32_TEMP_001,ESP32_Temperature,OPD,5,False,192.168.5.226,10.0.7.57,33691,1883,MQTT,1024,839,13.98,7,114,859136,280161,12.51,0,4,True,False,wifi_deauth,25,LOW,GRP_3121,0.769728,0.837343,0.407721,CAMP_010
2024-02-11 22:03:42,ALT_900279,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.17.144,10.0.9.67,56093,51833,BLE,733,726,12.1,39,78,532158,283914,18.04,22,6,False,True,replay_attack,28,LOW,GRP_9162,0.853033,0.645881,0.4805,CAMP_003
2024-02-04 07:40:15,ALT_743616,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.38.56,10.0.9.37,58695,63903,BLE,1609,1963,32.72,48,41,3158467,1774619,51.74,7,6,False,True,buffer_overflow,42,LOW,GRP_4884,0.914981,0.844787,0.257383,CAMP_036
2024-02-07 19:35:50,ALT_893686,ER_ESP32_FALL_001,ESP32_Fall_Detection,Emergency,8,False,192.168.36.84,10.0.1.104,7788,8080,WiFi,511,15,0.25,1,3,7665,2436,12.87,19,2,False,False,normal,0,LOW,,0.131816,0.136803,0.070069,
2024-01-19 10:22:40,ALT_326362,OPD_ESP32_HR_001,ESP32_Pulse_Oximeter,OPD,5,False,192.168.30.146,10.0.5.26,8225,59004,BLE,1603,537,8.95,37,19,860811,272714,53.68,10,4,False,False,buffer_overflow,42,MEDIUM,GRP_20297,0.728009,0.503487,0.432714,CAMP_020
2024-01-25 01:35:36,ALT_639276,REHAB_ESP32_FALL_001,ESP32_Fall_Detection,Rehabilitation,7,False,192.168.26.240,10.0.9.140,57372,80,WiFi,223,22,0.37,1,0,4906,1768,57.8,1,3,True,False,normal,0,INFO,,0.054236,0.11551,0.019797,
2024-02-14 08:05:04,ALT_940871,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.43.28,10.0.10.150,46437,64341,BLE,508,39,0.65,1,4,19812,7327,22.27,8,2,False,False,normal,0,LOW,,0.046325,0.017375,0.079092,
2024-01-28 12:27:29,ALT_562174,WARD_ESP32_FALL_001,ESP32_Fall_Detection,General_Ward,7,False,192.168.16.22,10.0.2.201,24935,443,WiFi,462,49,0.82,1,2,22638,15616,34.04,12,6,False,True,normal,0,LOW,,0.132653,0.093708,0.088214,
2024-02-02 03:07:29,ALT_811383,ICU_ESP32_TEMP_001,ESP32_Temperature,ICU,8,False,192.168.13.82,10.0.2.204,6030,1883,MQTT,1271,1660,27.67,13,114,2109860,1429066,11.7,3,4,True,False,buffer_overflow,42,HIGH,GRP_28637,0.679957,0.889882,0.387184,CAMP_030
2024-02-08 10:18:54,ALT_602603,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.6.111,10.0.1.42,53758,80,HTTP,543,1739,28.98,21,123,944277,329014,21.35,10,3,False,False,wifi_deauth,33,LOW,GRP_34893,0.64227,0.728679,0.484107,CAMP_006
2024-01-30 09:25:11,ALT_332211,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.44.89,10.0.7.147,42112,80,HTTP,1301,1705,28.42,3,118,2218205,1136700,31.66,9,1,False,False,replay_attack,28,MEDIUM,GRP_32732,0.977559,0.764534,0.516146,CAMP_015
2024-02-03 08:53:13,ALT_872678,OPD_ESP32_TEMP_001,ESP32_Temperature,OPD,5,False,192.168.42.128,10.0.8.235,51733,1883,MQTT,457,10,0.17,1,2,4570,1725,29.08,8,5,False,True,normal,0,INFO,,0.072012,0.142537,0.04445,
2024-01-26 09:59:49,ALT_504608,ER_ESP32_FALL_001,ESP32_Fall_Detection,Emergency,8,False,192.168.35.71,10.0.10.199,13776,8080,WiFi,1773,489,8.15,2,56,866997,294258,18.88,9,4,False,False,replay_attack,28,MEDIUM,GRP_19023,0.898663,0.722026,0.372187,CAMP_015
2024-01-21 20:33:39,ALT_490201,OPD_ESP32_HR_001,ESP32_Pulse_Oximeter,OPD,5,False,192.168.36.156,10.0.5.148,56636,54103,BLE,1683,1117,18.62,2,77,1879911,1194176,43.55,20,6,False,True,ddos,40,LOW,GRP_24937,0.840796,0.572322,0.378579,CAMP_017
2024-02-10 18:33:28,ALT_937182,WARD_ESP32_TEMP_001,ESP32_Temperature,General_Ward,6,False,192.168.48.111,10.0.7.140,61958,80,HTTP,367,30,0.5,1,4,11010,4166,36.57,18,5,False,True,normal,0,INFO,,0.165867,0.158707,0.025337,
2024-01-26 16:54:40,ALT_800376,ICU_ESP32_TEMP_001,ESP32_Temperature,ICU,8,False,192.168.50.102,10.0.8.29,61919,1883,MQTT,269,5,0.08,1,1,1345,667,50.0,16,4,False,False,normal,0,LOW,,0.005436,0.091912,0.086306,
2024-01-15 12:38:26,ALT_372721,WARD_ESP32_TEMP_001,ESP32_Temperature,General_Ward,6,False,192.168.39.112,10.0.3.187,56079,80,HTTP,206,26,0.43,1,2,5356,3730,54.13,12,0,False,False,normal,0,INFO,,0.080764,0.194563,0.02141,
2024-01-22 10:00:20,ALT_126825,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.14.185,10.0.7.217,12727,80,HTTP,432,25,0.42,1,5,10800,6756,52.84,10,0,False,False,normal,0,INFO,,0.02221,0.121775,0.036146,
2024-01-27 20:07:16,ALT_562794,WARD_ESP32_TEMP_002,ESP32_Temperature,General_Ward,6,False,192.168.28.10,10.0.6.50,11993,1883,MQTT,982,1601,26.68,42,51,1572182,488894,37.64,20,5,False,True,mqtt_injection,35,MEDIUM,GRP_9770,0.747721,0.670622,0.323998,CAMP_048
2024-01-30 16:11:40,ALT_801472,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.41.132,10.0.3.179,27801,443,HTTPS,391,19,0.32,1,5,7429,3928,23.76,16,1,False,False,normal,0,INFO,,0.053454,0.006368,0.050996,
2024-01-31 07:53:46,ALT_762484,ICU_ESP32_HR_001,ESP32_Pulse_Oximeter,ICU,10,True,192.168.19.38,10.0.4.84,17387,1883,MQTT,1682,212,3.53,10,153,356584,138042,9.23,7,2,False,False,ble_spoofing,30,CRITICAL,GRP_36853,0.886207,0.516947,0.234678,CAMP_004
2024-01-27 10:42:13,ALT_574701,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.33.226,10.0.7.243,3006,80,HTTP,202,38,0.63,1,2,7676,4588,37.82,10,5,False,True,normal,0,INFO,,0.104816,0.076265,0.009988,
2024-01-20 23:51:19,ALT_355293,OPD_ESP32_TEMP_001,ESP32_Temperature,OPD,5,False,192.168.29.2,10.0.6.116,52228,8883,MQTT,490,26,0.43,1,0,12740,6170,1.72,23,5,True,True,normal,0,INFO,,0.148918,0.003726,0.001038,
2024-02-04 14:24:35,ALT_199659,REHAB_ESP32_FALL_001,ESP32_Fall_Detection,Rehabilitation,7,False,192.168.24.215,10.0.8.141,57634,8080,WiFi,1978,1274,21.23,16,189,2519972,1081924,58.37,14,6,False,True,buffer_overflow,42,MEDIUM,GRP_29578,0.718018,0.724124,0.410726,CAMP_035
2024-02-02 12:20:18,ALT_864141,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.32.183,10.0.10.46,15103,443,HTTPS,452,36,0.6,1,2,16272,7139,4.08,12,4,False,False,normal,0,INFO,,0.077406,0.119424,0.090987,
2024-02-14 14:43:49,ALT_394745,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.33.197,10.0.2.235,5658,80,HTTP,482,27,0.45,1,5,13014,4210,24.96,14,2,False,False,normal,0,INFO,,0.013311,0.12078,0.066223,
2024-02-07 15:32:47,ALT_998370,ICU_ESP32_TEMP_001,ESP32_Temperature,ICU,8,False,192.168.11.228,10.0.9.31,10000,8883,MQTT,244,7,0.12,1,4,1708,938,11.08,15,2,False,False,normal,0,LOW,,0.026728,0.035358,0.010264,
2024-02-01 04:52:52,ALT_913423,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.26.76,10.0.8.185,25621,80,HTTP,1488,1919,31.98,9,84,2855472,1583103,10.8,4,3,True,False,mqtt_injection,35,LOW,GRP_19157,0.865966,0.710458,0.477537,CAMP_045
2024-02-10 03:17:41,ALT_473430,ICU_ESP32_ECG_001,ESP32_ECG_Monitor,ICU,10,True,192.168.18.161,10.0.1.193,44294,1883,MQTT,234,14,0.23,1,3,3276,1779,26.97,3,5,True,True,normal,0,MEDIUM,,0.0569,0.180759,0.082814,
2024-02-09 16:21:33,ALT_395664,ICU_ESP32_HR_001,ESP32_Pulse_Oximeter,ICU,10,True,192.168.4.212,10.0.6.71,63045,1883,MQTT,1361,1714,28.57,9,162,2332754,1518350,1.07,16,4,False,False,wifi_deauth,25,CRITICAL,GRP_15499,0.777541,0.947618,0.334731,CAMP_013
2024-02-06 00:03:05,ALT_320651,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.25.155,10.0.4.149,64603,8883,MQTT,363,45,0.75,1,0,16335,9092,9.88,0,1,True,False,normal,0,MEDIUM,,0.074382,0.018613,0.009088,
2024-02-03 22:47:10,ALT_205487,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.27.45,10.0.8.111,50720,80,HTTP,1927,1315,21.92,14,87,2534005,1020517,32.47,22,5,False,True,ddos,40,MEDIUM,GRP_25199,0.72203,0.599801,0.329605,CAMP_039
2024-02-03 07:19:17,ALT_948568,ER_ESP32_ECG_001,ESP32_ECG_Monitor,Emergency,9,True,192.168.49.178,10.0.10.77,1738,1883,MQTT,241,7,0.12,1,3,1687,580,58.88,7,5,False,True,normal,0,MEDIUM,,0.1354,0.119232,0.049374,
2024-01-19 14:40:33,ALT_418099,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.9.13,10.0.9.222,31964,80,HTTP,313,40,0.67,1,1,12520,6801,7.88,14,4,False,False,normal,0,INFO,,0.07548,0.169087,0.014813,
2024-01-29 06:50:56,ALT_517954,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.29.169,10.0.7.145,62009,80,HTTP,267,30,0.5,1,4,8010,5389,34.08,6,0,False,False,normal,0,INFO,,0.00213,0.011734,0.053612,
2024-01-30 00:16:06,ALT_771001,WARD_ESP32_FALL_001,ESP32_Fall_Detection,General_Ward,7,False,192.168.29.96,10.0.2.89,61163,80,WiFi,1404,1522,25.37,45,52,2136888,991227,48.5,0,1,True,False,wifi_deauth,25,MEDIUM,GRP_10552,0.843399,0.766797,0.430939,CAMP_006
2024-01-29 03:18:16,ALT_697905,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.47.246,10.0.3.172,42409,65471,BLE,384,8,0.13,1,0,3072,1432,38.57,3,0,True,False,normal,0,LOW,,0.038544,0.04667,0.041202,
2024-01-22 10:58:28,ALT_521639,WARD_ESP32_HR_001,ESP32_Pulse_Oximeter,General_Ward,7,False,192.168.37.144,10.0.2.181,27845,64021,BLE,253,39,0.65,1,5,9867,4865,2.67,10,0,False,False,normal,0,LOW,,0.188139,0.087987,0.010616,
2024-02-01 01:52:34,ALT_707460,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.22.18,10.0.4.189,59116,443,HTTPS,989,203,3.38,31,76,200767,138197,54.53,1,3,True,False,ddos,42,LOW,GRP_33703,0.686375,0.681265,0.328638,CAMP_047
2024-02-03 16:54:37,ALT_499589,WARD_ESP32_TEMP_002,ESP32_Temperature,General_Ward,6,False,192.168.36.77,10.0.1.162,14429,8883,MQTT,616,634,10.57,6,129,390544,228459,8.68,16,5,False,True,wifi_deauth,25,LOW,GRP_13692,0.729313,0.532317,0.392649,CAMP_006
2024-01-30 08:36:00,ALT_210038,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.22.38,10.0.10.151,12779,63647,BLE,1189,1472,24.53,46,181,1750208,892567,48.29,8,1,False,False,wifi_deauth,24,LOW,GRP_38071,0.630652,0.775806,0.411606,CAMP_043
2024-02-12 12:58:41,ALT_118215,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.40.20,10.0.3.12,39626,80,HTTP,355,44,0.73,1,2,15620,4787,41.14,12,0,False,False,normal,0,INFO,,0.174795,0.166094,0.02891,
2024-02-05 14:00:13,ALT_700348,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.38.118,10.0.5.146,14257,80,HTTP,1572,1142,19.03,11,175,1795224,971514,36.91,14,0,False,False,mitm_ssl_strip,38,MEDIUM,GRP_24611,0.991666,0.724158,0.315395,CAMP_009
2024-01-27 19:22:51,ALT_401198,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.14.148,10.0.7.25,5008,80,HTTP,582,220,3.67,20,105,128040,55450,49.47,19,5,False,True,firmware_exploit,45,MEDIUM,GRP_1770,0.708232,0.93569,0.250245,CAMP_033
2024-02-03 02:13:12,ALT_591001,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.9.8,10.0.10.71,10073,51094,BLE,411,41,0.68,1,4,16851,5612,20.21,2,5,True,True,normal,0,INFO,,0.026182,0.032958,0.036872,
2024-01-20 01:54:41,ALT_850585,HOME_ESP32_FALL_001,ESP32_Fall_Detection,Home_Care,6,False,192.168.49.21,10.0.6.46,53524,80,WiFi,1469,1039,17.32,5,148,1526291,994256,57.34,1,5,True,True,mqtt_injection,35,LOW,GRP_22200,0.739099,0.883574,0.433974,CAMP_025
2024-02-05 08:54:24,ALT_251278,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.33.41,10.0.3.184,31444,55234,BLE,503,24,0.4,1,2,12072,6665,4.38,8,0,False,False,normal,0,INFO,,0.030713,0.039087,0.078977,
2024-01-16 04:03:57,ALT_264791,ICU_ESP32_ECG_001,ESP32_ECG_Monitor,ICU,10,True,192.168.36.56,10.0.5.249,8742,8883,MQTT,1767,1247,20.78,29,139,2203449,1081495,12.39,4,1,True,False,wifi_deauth,25,CRITICAL,GRP_18450,0.690291,0.517955,0.25377,CAMP_013
2024-02-06 18:54:32,ALT_609166,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.26.8,10.0.4.108,42086,8883,MQTT,772,243,4.05,9,29,187596,90058,43.61,18,1,False,False,wifi_deauth,25,HIGH,GRP_0056,0.99853,0.7458,0.38713,CAMP_034
2024-01-23 18:08:20,ALT_604065,ER_ESP32_ECG_001,ESP32_ECG_Monitor,Emergency,9,True,192.168.14.190,10.0.7.65,22068,1883,MQTT,325,11,0.18,1,1,3575,2319,0.13,18,1,False,False,normal,0,MEDIUM,,0.08198,0.063178,0.095525,
2024-02-12 06:15:25,ALT_434340,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.38.148,10.0.8.57,39027,80,HTTP,282,15,0.25,1,4,4230,2648,31.87,6,0,False,False,normal,0,INFO,,0.197974,0.024828,0.079008,
2024-02-05 19:25:09,ALT_460348,REHAB_ESP32_TEMP_001,ESP32_Temperature,Rehabilitation,5,False,192.168.47.110,10.0.8.56,13026,80,HTTP,1577,574,9.57,47,26,905198,395858,55.46,19,0,False,False,wifi_deauth,25,LOW,GRP_24464,0.853965,0.673393,0.166584,CAMP_008
2024-02-03 20:46:23,ALT_268682,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.26.228,10.0.5.238,30143,80,HTTP,319,13,0.22,1,2,4147,2147,0.76,20,5,False,True,normal,0,INFO,,0.153656,0.061715,0.03755,
2024-01-31 10:59:10,ALT_836200,ICU_ESP32_HR_001,ESP32_Pulse_Oximeter,ICU,10,True,192.168.21.126,10.0.3.130,15403,8883,MQTT,258,45,0.75,1,1,11610,4146,32.13,10,2,False,False,normal,0,MEDIUM,,0.151722,0.168197,0.070437,
2024-01-16 16:54:42,ALT_341833,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.15.193,10.0.2.50,5162,80,HTTP,1693,748,12.47,2,42,1266364,536924,34.66,16,1,False,False,ble_spoofing,30,MEDIUM,GRP_4291,0.682312,0.895768,0.207713,CAMP_001
2024-02-03 11:37:10,ALT_621577,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.7.240,10.0.6.51,22054,1883,MQTT,290,45,0.75,1,2,13050,5270,14.39,11,5,False,True,normal,0,MEDIUM,,0.026047,0.016524,0.020729,
2024-02-02 05:33:15,ALT_650425,HOME_ESP32_HR_001,ESP32_Pulse_Oximeter,Home_Care,5,False,192.168.47.131,10.0.7.148,62085,62116,BLE,205,20,0.33,1,3,4100,1481,41.29,5,4,True,False,normal,0,INFO,,0.063654,0.072203,0.035408,
2024-01-26 12:28:56,ALT_816850,WARD_ESP32_TEMP_001,ESP32_Temperature,General_Ward,6,False,192.168.29.69,10.0.9.133,43901,80,HTTP,240,32,0.53,1,1,7680,3927,7.85,12,4,False,False,normal,0,INFO,,0.168771,0.15203,0.004236,
2024-02-14 11:27:51,ALT_267822,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.15.238,10.0.2.27,53217,80,HTTP,361,12,0.2,1,1,4332,2546,41.9,11,2,False,False,normal,0,INFO,,0.150381,0.130729,0.019393,
2024-01-27 17:37:01,ALT_689792,ER_ESP32_FALL_001,ESP32_Fall_Detection,Emergency,8,False,192.168.28.73,10.0.8.166,48011,80,WiFi,568,1553,25.88,28,75,882104,273066,9.37,17,5,False,True,wifi_deauth,25,MEDIUM,GRP_6599,0.819283,0.725823,0.263015,CAMP_034
2024-01-25 14:16:42,ALT_781669,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.39.178,10.0.5.10,13853,80,HTTP,1482,1984,33.07,41,69,2940288,1354090,13.48,14,3,False,False,mitm_ssl_strip,39,LOW,GRP_39090,0.801243,0.598671,0.161656,CAMP_037
2024-01-25 20:16:03,ALT_147591,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.39.128,10.0.10.40,42825,1883,MQTT,442,36,0.6,1,2,15912,8695,46.62,20,3,False,False,normal,0,MEDIUM,,0.148914,0.187365,0.032409,
2024-01-19 18:46:16,ALT_481005,ICU_ESP32_TEMP_001,ESP32_Temperature,ICU,8,False,192.168.43.181,10.0.2.98,56987,8883,MQTT,393,9,0.15,1,0,3537,1723,1.74,18,4,False,False,normal,0,LOW,,0.015286,0.073758,0.033519,
2024-02-08 21:42:38,ALT_502645,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.13.45,10.0.9.111,23091,443,HTTPS,838,858,14.3,8,55,719004,425118,27.71,21,3,False,False,ble_spoofing,30,LOW,GRP_3588,0.901584,0.623271,0.305543,CAMP_031
2024-02-01 04:56:41,ALT_586379,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.32.95,10.0.8.152,63329,443,HTTPS,349,17,0.28,1,3,5933,3640,35.99,4,3,True,False,normal,0,INFO,,0.076918,0.105199,0.073156,
2024-01-21 15:15:51,ALT_475048,ICU_ESP32_ECG_002,ESP32_ECG_Monitor,ICU,9,True,192.168.41.236,10.0.10.204,36115,8883,MQTT,1785,1032,17.2,45,147,1842120,704709,6.32,15,6,False,True,wifi_deauth,25,CRITICAL,GRP_9103,0.765789,0.617019,0.561684,CAMP_013
2024-02-08 11:55:25,ALT_779145,OPD_ESP32_ENV_001,ESP32_Environment,OPD,4,False,192.168.17.39,10.0.4.106,31232,80,HTTP,938,1113,18.55,25,184,1043994,584140,38.65,11,3,False,False,mqtt_injection,35,LOW,GRP_26412,0.859613,0.61858,0.44201,CAMP_016
2024-02-04 00:09:39,ALT_452355,HOME_ESP32_TEMP_001,ESP32_Temperature,Home_Care,4,False,192.168.32.93,10.0.1.95,29253,443,HTTPS,889,1202,20.03,44,171,1068578,614217,59.77,0,6,True,True,ddos,33,LOW,GRP_39477,0.715827,0.763072,0.195178,CAMP_047
2024-01-20 17:28:56,ALT_520579,WARD_ESP32_TEMP_002,ESP32_Temperature,General_Ward,6,False,192.168.32.122,10.0.6.177,29610,1883,MQTT,252,36,0.6,1,4,9072,5875,34.83,17,5,False,True,normal,0,INFO,,0.098223,0.055465,0.023414,
2024-01-28 20:14:34,ALT_563261,WARD_ESP32_FALL_001,ESP32_Fall_Detection,General_Ward,7,False,192.168.42.125,10.0.1.84,9410,8080,WiFi,1051,366,6.1,13,94,384666,183850,17.22,20,6,False,True,wifi_deauth,25,MEDIUM,GRP_27071,0.667345,0.678639,0.598795,CAMP_006
2024-01-17 01:40:39,ALT_977520,ER_ESP32_HR_001,ESP32_Pulse_Oximeter,Emergency,9,True,192.168.17.69,10.0.9.84,25095,1883,MQTT,1327,1860,31.0,40,179,2468220,830475,38.33,1,2,True,False,replay_attack,28,HIGH,GRP_5084,0.7113,0.774478,0.212759,CAMP_015
2024-01-26 02:08:51,ALT_504714,ER_ESP32_TEMP_001,ESP32_Temperature,Emergency,7,False,192.168.12.214,10.0.1.8,21272,80,HTTP,329,48,0.8,1,5,15792,10451,54.09,2,4,True,False,normal,0,LOW,,0.014383,0.126387,0.055771,
2024-01-21 02:47:10,ALT_642998,WARD_ESP32_ENV_001,ESP32_Environment,General_Ward,5,False,192.168.21.121,10.0.8.201,1310,80,HTTP,398,31,0.52,1,3,12338,6290,49.64,2,6,True,True,normal,0,INFO,,0.154841,0.18798,0.030902,
